username,role,course_id,slug_id,slug_type,title,nposts,body,code
dilekdoratekin,Student,UBCx/Climate1x/1T2016,56ded2e9ce92900528000405,initial_post,Assignment 2 Carbon Cycle Human Activities,0,"Assignment 2 Carbon Cycle Human Activities
 Istanbul’s off the record population is over 20 million and there are estimated 3.5 million cars. One person smokes 1499 cigarettes for one year.
 Carbon is vitally important for earth and life. Carbon follows a certain route on earth and this action called carbon cycle. Carbon cycle is based on carbon dioxide (CO2), which can be found in air in gaseous form and in water in dissolved form.
 Carbon dioxide is a greenhouse gas, which basically means that too much carbon dioxide in air causes the earth to warm up. Humans emit great amounts of carbon dioxide during combustion processes and because of this, the greenhouse effect consisted. The greenhouse effect means that the climate is affected by the concentrations of greenhouse gasses on earth
 Projecting climate into the future and forecating regional impacts depends on our understanding of the exchange of carbon dioxide between the atmosphere, oceans and land ecosytems
 Respiration 
 Plants (and photosynthetic algae and bacteria) then use some of the stored carbohydrates as an energy source to carry out their life functions. Some of the carbohydrates remain as biomass (the bulk of the plant, etc.). Consumers such as animals, fungi, and bacteria get their energy from this excess biomass either while living or dead and decaying. Oxygen from the atmosphere is combined with carbohydrates to liberate the stored energy. Water and carbon dioxide are byproducts. 
 oxygen + carbohydrate -> energy + water + carbohydrate 
 O2 + CH2O -> energy + H2O + CO2 
 Notice that photosynthesis and respiration are essentially the opposite of one another. Photosynthesis removes CO2 from the atmosphere and replaces it with O2. Respiration takes O2 from the atmosphere and replaces it with CO2. However, these processes are not in balance. Not all organic matter is oxidized. Some is buried in sedimentary rocks. The result is that over geologic time, there has been more oxygen put into the atmosphere and carbon dioxide removed by photosynthesis than the reverse. 
 If CO2 concentration increases in the atmosphere because of an increased rate of outgassing, global temperature will rise. Rising temperature and more dissolved CO2 will lead to increased weathering of crustal rocks as a result of faster reaction rates (temperature effect) and greater acidity. Enhanced weathering will use up the excess CO2 thereby cooling the climate. 
 If global temperature cools as a result of some astronomical forcing or tectonic/ocean circulation effect, the lower temperatures will result in lower rates of chemical weathering. Decreased weathering means less CO2 being drawn from the atmosphere by weathering reactions, leaving more CO2 in the atmosphere to increase temperatures. 
 If more rocks become available for rapid weathering as a result of mountain uplift the enhanced weathering will draw down atmospheric CO2 and decrease global temperatures. But the decreased temperatures will slow reaction rates, thereby using less CO2, thus allowing temperatures to moderate.
  Istanbul’s off the record population is over 20 million and there are estimated 3.5 million cars. One person smokes 1499 cigarettes for one year. Burnning coals, smokestacks, exhaust pipes stay in the atmosphere.
 The spesific CO2 molecules that come out of the smokestacks and exhaust pipes stay in the atmosphere for only a few years on average but they don’t vanish after that time rather, they end up in other parts of the carbon cycle ( most likely absorbed in the ocean or by a plant) Other CO2 molecules are swapping places with those CO2 molecules all the time, but the total amount in the cycle is increasing because of our emissions. The question isn’t how long an individual carbon dioxide molecule stay in the atmosphere.. It is how long extra population of molecules sticks around. The answer is that is at least hundreds of years, and that’s the period when our climate will feel warming effect
 Photosynthesis, respiration and CO2 absorption/release from the ocean surfaces are all examples of natural fluxes of carbon through the Earth's systems. Human activities, particularly fossil fuel burning and deforestation, disrupt this natural flux by releasing CO2 into the atmosphere. When we mine coal and extract oil from the Earth and then burn these fossil fuels for transportation, heating, cooking, electricity and manufacturing, we are effectively moving carbon more rapidly into the atmosphere than is being removed from the atmosphere naturally through the sedimentation of carbon. This causes the concentration of CO2 in the atmosphere to increase, which leads to global warming. Also, by clear-cutting forests to support agriculture, we are transferring carbon from living biomass into the atmosphere. Because of this, the CO2 concentration in the atmosphere is higher than it has ever been
  Fossil fuels represent carbon storage areas. Carbon that is locked in these fossil fuels does not cycle through the Earth. When humans burn fossil fuels, the stored carbon is released into the atmosphere as carbon dioxide. The carbon is then free to cycle through the Earth and can upset the natural balance of the carbon available, changing the way that processes occur on Earth.
 Sources:
 lenntech.com/carbon-cycle.htm
 Tr.wikipedia.org
 How to change minds about our changing climate: let science do the talking the next time someone tried to tely you... ebook",t
tanushreerao,Student,UBCx/Climate1x/1T2016,56bae68d17a62f05160007c3,initial_post,Deadline,1,"Hi, I posted in the troubleshooting page that I had thought the deadline referred to the end of Wednesday as has been the case with other edX courses! Hoping you could please still accept my assignment. I have uploaded it to https://www.dropbox.com/s/zkovb4qrd9ranh1/Carbon%20cycles%20edX%20assignment.docx?dl=0.",p
ManopriyaS,Student,UBCx/Climate1x/1T2016,56aeebb32d96fe051c000178,initial_post,Role of Science,0,"Hi friends,
 Science is the important part to be consider to understand the problems and making mitigation policies to reduce the severity. In this concept it's allow us think in wide range about past, present and future concerns about climate change.",t
dilekdoratekin,Student,UBCx/Climate1x/1T2016,569e4a195fd709052e00098b,initial_post,Thank you,0,Thank You:),s
GlennTamblyn,Student,UBCx/Climate1x/1T2016,569ac2cae160f2051a000763,initial_post,Is there a Syllabus,2,"Sara & Staff
 
 With the questions that some students have already started asking, perhaps jumping ahead of the course content, having a syllabus available might be useful. Then answers like 'that will be covered in module x.y' could be given.",p
SaraEHarris,Instructor,UBCx/Climate1x/1T2016,56c0b5ed22a8fb052c0000dc,initial_post,About RCP3PD,6,To “follow” the RCP3PD pathway or something similar will require negative carbon emissions. What options can you find out about for negative emissions? What seems most promising today and in the future?,t
anja_buettner,Student,UBCx/Climate1x/1T2016,56bc8bdd17a62f05870008df,initial_post,Question about the Final Exam,5,"Hi everyone, hi Sara, hi Team!
 I was just looking for some additional information about the final exam, and I hope you canhelp me out.
 
 * ""Dates & Deadlines"" says it will be released on February 22nd, 0:00 UTC, what does this mean exactly? Is it like a take home exam that we work on at our own pace - if so, when is the deadline to hand it in/upload it? Or is there a time limit and we have to work on it at the computer?
 
 * Will there be multiple choice questions like in the Quizzes section or short essay answers or both? Do we have to build models or ...?
 
 Some info would help me and I guess others, too, a lot with preparing for the exam and to do well.
 Thank you so much in advance!
 
 Also, I really enjoy this course, I have learned so much already, not only about climate change in general, but about the different consequences various regions/countries are facing at the moment. I am glad I decided to take part!
 
 This is FUN!!! :)
 
 Greetings from Germany, Anja",p
JenniferDyster,Student,UBCx/Climate1x/1T2016,569f334ce160f2054a000a5f,initial_post,Role of Science in decision-making,1,"Science should be highly influential in decision making because other aspects are less objective. There is a consilience of evidence about global warming (surface temperature. sea ice, night time and winter temperature rising, extreme weather events increasing, coral bleaching etc). All of these things have tangible effects on our energy consumption or tourism and it doesn't make sense to try to make economic decisions without recourse to the facts that emerge from scientific data. To use political expediency as a basis for policy change is akin to voting on whether the earth is flat or round.",t
MarketaKo,Student,UBCx/Climate1x/1T2016,569a3804a66778053f000789,initial_post,Remove CO2?,2,"Hello, I would like to know if it is possible to somehow remove large amounts of CO2 from the atmospheare and oceans? Would be great complementary step to limiting CO2 emissions. Thank you and have a nice weekend. Marketa",t
Sunnyhaze,Student,UBCx/Climate1x/1T2016,56943c9ea66778050c0003aa,initial_post,Paris Agreement..lengthy read.,2,"I'm surprised this was included...I'm reading this at the moment, and I should pass on that it is quite lengthy....Just so students are aware of this before they click on it. Might want to get comfortable first....but it's worth the read. Before you ask, I did a search on this , and no other posts had been made before mine.",p
1ratdog,Student,UBCx/Climate1x/1T2016,56d0c332c01ce005490008db,initial_post,Thanks for an Excellent Course,0,"First of all, Thank You to Prof. Harris and the University of British Columbia for offering/teaching this terrific course. I knew a little about climate science going in - now I know a whole lot more. And while I was concerned before with the direction of things in our world today, now I see the reason why we ALL need to be aware of the types of scientific evidence presented here about climate change, and not just be aware, but also be more vocal about sharing facts and engaging people in discussions.
 
 Thank you to the TA's for your help and participation in the forums. You added a lot to the class as a whole. I've done quite a few MOOCs and the TA support and participation here is first rate.
 
 Thank you also to all of my fellow students. I enjoyed reading your essays and learning about climate change in your regions. There are so many more things going on than I could have ever imagined, and to see and hear from those of you who are living those effects was truly a highlight of this course. I hope to see some of you in the future in other on-line learning communities. 
 
 Though this course was a little different for me (my usual areas of study being astrophysics and mathematics) I am really glad I took this one. This is an election year here in the United States and while I doubt that climate change will be one of the foremost topics, it will come up. And that will offer many opportunities to exchange information with others here about the importance of being aware of, and engaged in, topics concerning the reality of climate change. I feel much more prepared to do that now that I have studied it here. Thanks again!!!",s
AmaviSilva,Student,UBCx/Climate1x/1T2016,56adb6712d96fe04fe00010a,initial_post,About the due date of Assignment 1,1,"I enrolled in this course on Jan 25, 2016 and by the time I reached Assignment 1, the deadline has been already passed by three days. Since I am very keen on submitting it and getting it evaluated, I would like to ask for any possibility for an extension of the deadline. 
 
 Thank you",p
HowardNC,Student,UBCx/Climate1x/1T2016,56a7eab4a66778054400108e,initial_post,Inro Map,1,I still cannot do the Intro map even though I am not blocking cookies. I am using a Mac. Could that be the problem?,p
jujene,Student,UBCx/Climate1x/1T2016,56bd93ecaf36f305360009b5,initial_post,Free-range,0,"Increased availability of free-range pork lowers its price, which encourages more people to buy, which encourages more pork farmers to go free range, etc... amplifying feedback
 
 But as the price of free-range pork is lowered, the not-free-range pig farms, with lower overheads per-pig, lower their prices even further in competition, slowing the switch of eaters to free-range meat.",t
HelenaMarques,Student,UBCx/Climate1x/1T2016,56b12bd5af36f304ee0002ca,initial_post,Climate Sensitivity,0,"In my opinion it was due to the advance of science, the needs of people and policies that began to be calculated the odds of climate policy. But the truth is that now exist a lot of chances, a huge number of arbitrary scenarios to produce future climate impacts with the excuse that the future is unknown, unlike the authors of the IPCC. In my opinion rather than a political probabilities of climate change, which are not useful because they reveal no adaptability, it has to be an adaptive environmental management strategy rather than one relies on the story.",t
BSchuess,Student,UBCx/Climate1x/1T2016,56a80b36e160f2052f00105a,initial_post,Disappointed,2,I missed completion of this first assignment by 9 minutes. Is there any way I can still post my essay?,p
megannak,Student,UBCx/Climate1x/1T2016,56a80a67e160f2051d000f73,initial_post,Missed Assignment 1 Deadline!!,4,"I just came back from school to post my Assignment 1, but alas! It has closed and I've missed it by 5 minutes! I was not aware, as I am a California resident (should have been more observant of the time difference!) Does anyone know if there is a way to post Assignment 1 past deadline? :(",p
jalalim,Student,UBCx/Climate1x/1T2016,56a328a0e160f2053b000c6e,initial_post,Iranian Water Crisis,0,"Global warming is one of the most significant effects of the Climate Change on the Earth, which will be followed by devastating consequences such as rising water levels, rainfall reduction and submerging various territories. 
 According to Islamic Republic News Agency, Feb. 18, 2014, rainfall reduction and water crisis are prominent and dangerous problems in Iran, which lead to alarming conditions for the 14 cities in the country during the two last decades. With the exception of just three years, Iran has experienced 23 consecutive years of reduction in precipitation and increase in temperature (Iran Meteorological Service, 2014).
 Although there are many effective ways to deal with such problems, but Water Resources Management has a remarkable role to decline water crisis effects. I believe that System Dynamics is one of the best approaches for water management in such regions. Its fundamental concepts introduced in this course.",t
Ethelberto,Student,UBCx/Climate1x/1T2016,5694ac84a66778051200041d,initial_post,Climate Change Science & Sustainable Development,2,"Hi everyone, Good to be part of this global classroom of learners. My name is Ethelberto; I reside in Port Harcourt, Nigeria, West Africa. I am a postgraduate student of Sustainable Development and find this course very informative.
 
 Linking Climate Science to Sustainable Development is key to understanding our Earth System and helping policy makers make informed decisions to mitigate and adapt to effects of climate change both at local, regional and international scales. We are almost at the ""tipping point"" and there is no time to waste, despite all the climate change deniers!
 
 The works of IPCC buttresses the fact that science without practice is waste of resources. Thanks to the just concluded COP21 conference in Paris, science and development are merging in sustainable ways and we are thankful to IPCC and other observers and modellers of our dear Earth. 
 
 Are the advocates of Mainstream Sustainable Development therefore winning? Would appreciate your comments.
 
 Thank you.
 
 Ethelberto",t
SaraEHarris,Instructor,UBCx/Climate1x/1T2016,5692e1435fd709051700029a,initial_post,Role of science in Decision Making?,106,"What role do you think science should play in decision-making? 
 
 **Just so you know, this thread has a lot of posts (terrific!). In order to see them all, at the bottom of the page look for the button that says ""Load All Responses"", otherwise only the first 25 will show up.**",p
